State,City,Population,"Violent
crime","Property
crime",Violent Crime per pop,"Violent crime rate per 100,000 inhabitants",Property crime per pop,"Property crime per 100,000 inhabitants"
South Carolina,Charleston,"132,585",200,"1,524",0,150.85,0.01,1149.45
Texas,Midland,"132,625",247,"1,785",0,186.24,0.01,1345.9
Colorado,Thornton,133188,143,1997,0,107.37,0.01,1499.38
Kansas,Olathe,134830,111,986,0,82.33,0.01,731.29
Michigan,Warren,135367,351,1647,0,259.3,0.01,1216.69
Virginia,Hampton,"136,381",174,"2,012",0,127.58,0.01,1475.28
Florida,Miramar,138330,233,1480,0,168.44,0.01,1069.91
Texas,Killeen,"140,497",445,"1,797",0,316.73,0.01,1279.03
California,Orange,140572,104,1282,0,73.98,0.01,911.99
Texas,McAllen,"140,593",96,"2,227",0,68.28,0.02,1584
Ohio,Dayton,140683,573,3354,0,407.3,0.02,2384.08
California,Pasadena,141815,241,1722,0,169.94,0.01,1214.26
New York,Syracuse,144027,502,2209,0,348.55,0.02,1533.74
Texas,Mesquite,"145,569",287,"2,756",0,197.16,0.02,1893.26
New Jersey,Paterson,146588,547,1498,0,373.15,0.01,1021.91
Illinois,Naperville,147101,37,697,0,25.15,0,473.82
Illinois,Joliet,147991,260,1378,0,175.69,0.01,931.14
Illinois,Rockford,148178,1238,2684,0.01,835.48,0.02,1811.34
Connecticut,Bridgeport,148313,472,N/A,0,318.25,#VALUE!,
California,Torrance,149243,116,1568,0,77.73,0.01,1050.64
Florida,Hollywood,149822,316,2372,0,210.92,0.02,1583.21
Tennessee,Clarksville,"150,319",481,"1,799",0,319.99,0.01,1196.79
Colorado,Lakewood,151311,437,4124,0,288.81,0.03,2725.51
California,Escondido,151732,257,1665,0,169.38,0.01,1097.33
California,Sunnyvale,152443,68,1012,0,44.61,0.01,663.85
Texas,Frisco,"152,678",65,"1,176",0,42.57,0.01,770.25
Virginia,Alexandria,"152,710",137,"1,306",0,89.71,0.01,855.22
Massachusetts,Springfield,154090,766,2459,0,497.11,0.02,1595.82
California,Pomona,154410,334,2316,0,216.31,0.01,1499.9
Texas,Pasadena,"154,986",328,"1,949",0,211.63,0.01,1257.53
California,Hayward,157157,298,2266,0,189.62,0.01,1441.87
California,Salinas,158185,431,2738,0,272.47,0.02,1730.88
California,Palmdale,159613,351,1264,0,219.91,0.01,791.92
Colorado,Fort Collins,159629,133,1583,0,83.32,0.01,991.67
North Carolina,Cary,160291,67,852,0,41.8,0.01,531.53
Oregon,Eugene,"161,608",285,"2,941",0,176.35,0.02,1819.84
California,Lancaster,162095,550,1761,0,339.31,0.01,1086.4
Oregon,Salem,"163,320",238,"3,339",0,145.73,0.02,2044.45
Texas,McKinney,"163,406",117,"1,102",0,71.6,0.01,674.39
California,Elk Grove,166183,278,1269,0,167.29,0.01,763.62
Missouri,Springfield,166860,1144,6283,0.01,685.6,0.04,3765.43
Florida,Pembroke Pines,167266,187,1823,0,111.8,0.01,1089.88
Arizona,Peoria,170222,166,1865,0,97.52,0.01,1095.63
California,Ontario,170274,298,2331,0,175.01,0.01,1368.97
Mississippi,Jackson,170508,677,3875,0,397.05,0.02,2272.62
Washington,Vancouver,"171,076",319,"2,868",0,186.47,0.02,1676.45
South Dakota,Sioux Falls,"172,313",460,"2,664",0,266.96,0.02,1546.02
Tennessee,Chattanooga,"174,969",873,"4,787",0,498.95,0.03,2735.91
Arizona,Tempe,175556,437,4050,0,248.92,0.02,2306.96
California,Santa Rosa,175738,333,1714,0,189.49,0.01,975.32
California,Garden Grove,176041,252,2187,0,143.15,0.01,1242.32
California,Oceanside,176319,307,2152,0,174.12,0.01,1220.52
Florida,Port St. Lucie,176364,139,1167,0,78.81,0.01,661.7
California,Rancho Cucamonga,176376,119,2072,0,67.47,0.01,1174.76
Florida,Fort Lauderdale,178598,584,5366,0,326.99,0.03,3004.51
Virginia,Newport News,"182,975",377,"2,570",0,206.04,0.01,1404.56
Massachusetts,Worcester,183377,771,2711,0,420.45,0.01,1478.38
Texas,Brownsville,"184,941",234,"3,057",0,126.53,0.02,1652.96
Tennessee,Knoxville,"185,638",832,"4,854",0,448.18,0.03,2614.77
Kansas,Overland Park,187240,188,1376,0,100.41,0.01,734.89
Texas,Grand Prairie,"187,901",306,"2,217",0,162.85,0.01,1179.88
Florida,Tallahassee,189709,857,5346,0,451.74,0.03,2818
Alabama,Huntsville,"190,106",876,"4,565",0,460.8,0.02,2401.29
Michigan,Grand Rapids,195268,619,N/A,0,317,#VALUE!,
Ohio,Akron,197587,531,3210,0,268.74,0.02,1624.6
Louisiana,Shreveport,197592,837,4729,0,423.6,0.02,2393.32
Arkansas,Little Rock,198647,1415,6476,0.01,712.32,0.03,3260.05
Texas,Amarillo,"198,770",680,"4,526",0,342.1,0.02,2277
Illinois,Aurora,201034,306,1163,0,152.21,0.01,578.51
New York,Yonkers,201753,464,988,0,229.98,0,489.71
California,Huntington Beach,203233,170,2167,0,83.65,0.01,1066.26
North Carolina,Fayetteville,204731,659,4598,0,321.89,0.02,2245.87
California,Moreno Valley,205182,469,3052,0,228.58,0.01,1487.46
Washington,Tacoma,"206,884","1,010","6,795",0,488.2,0.03,3284.45
California,Fontana,206982,447,2224,0,215.96,0.01,1074.49
California,Oxnard,207221,450,3291,0,217.16,0.02,1588.16
New York,Rochester,209922,879,3583,0,418.73,0.02,1706.82
California,Modesto,210794,1034,5010,0,490.53,0.02,2376.73
California,Santa Clarita,211132,156,1476,0,73.89,0.01,699.09
Washington,Spokane,"212,698",564,"8,000",0,265.16,0.04,3761.2
California,San Bernardino,216477,1396,4431,0.01,644.87,0.02,2046.87
Idaho,Boise,218844,330,2482,0,150.79,0.01,1134.14
Virginia,Richmond,"220,802",504,"3,065",0,228.26,0.01,1388.12
Louisiana,Baton Rouge,228727,979,4708,0,428.02,0.02,2058.35
California,Fremont,232427,204,2239,0,87.77,0.01,963.31
Arizona,Scottsdale,233872,197,2904,0,84.23,0.01,1241.7
Nevada,North Las Vegas,234386,1122,2543,0,478.7,0.01,1084.96
Virginia,Chesapeake,"235,273",416,"2,979",0,176.82,0.01,1266.19
Texas,Irving,"236,465",258,"3,191",0,109.11,0.01,1349.46
Texas,Garland,"237,593",367,"3,681",0,154.47,0.02,1549.29
Florida,Hialeah,238132,336,2812,0,141.1,0.01,1180.86
Nevada,Reno,239721,809,3820,0,337.48,0.02,1593.52
Georgia,Savannah-Chatham,240178,574,3950,0,238.99,0.02,1644.61
Virginia,Norfolk,"245,400",766,"4,438",0,312.14,0.02,1808.48
Texas,Lubbock,"247,271","1,306","5,918",0.01,528.17,0.02,2393.33
Arizona,Gilbert,247324,108,1694,0,43.67,0.01,684.93
Wisconsin,Madison,"248,833",395,"3,187",0,158.74,0.01,1280.78
Florida,St. Petersburg,255821,854,5642,0,333.83,0.02,2205.45
Texas,Laredo,"256,280",493,"4,126",0,192.37,0.02,1609.96
New York,Buffalo,258096,1358,4803,0.01,526.16,0.02,1860.94
California,Irvine,258198,74,1977,0,28.66,0.01,765.69
Arizona,Chandler,258875,272,2987,0,105.07,0.01,1153.84
Indiana,Fort Wayne,259712,450,3976,0,173.27,0.02,1530.93
New Jersey,Jersey City,265159,598,1986,0,225.53,0.01,748.98
California,Chula Vista,265215,362,2377,0,136.49,0.01,896.25
Florida,Orlando,268438,1194,7600,0,444.8,0.03,2831.19
Nebraska,Lincoln,276585,473,4104,0,171.01,0.01,1483.81
Nevada,Henderson,282554,305,2828,0,107.94,0.01,1000.87
North Carolina,Greensboro,285950,898,4770,0,314.04,0.02,1668.12
Ohio,Cincinnati,298478,1268,7064,0,424.82,0.02,2366.67
Minnesota,St. Paul,300721,1000,4360,0,332.53,0.01,1449.85
Alaska,Anchorage,301239,1692,6853,0.01,561.68,0.02,2274.94
California,Stockton,304890,2158,5912,0.01,707.8,0.02,1939.06
Pennsylvania,Pittsburgh,"306,870","1,115","4,487",0,363.35,0.01,1462.18
Kentucky,Lexington,314077,504,5982,0,160.47,0.02,1904.63
Missouri,St. Louis,317095,2781,8522,0.01,877.02,0.03,2687.52
California,Riverside,323064,832,5443,0,257.53,0.02,1684.81
Texas,Corpus Christi,"324,326","1,090","5,703",0,336.08,0.02,1758.42
California,Santa Ana,337304,868,3428,0,257.33,0.01,1016.29
California,Anaheim,349471,620,5151,0,177.41,0.01,1473.94
Colorado,Aurora,360237,904,5477,0,250.95,0.02,1520.39
Florida,Tampa,364383,984,4031,0,270.05,0.01,1106.25
California,Bakersfield,373887,925,8264,0,247.4,0.02,2210.29
